layer,metric,mean,std,n,ci_lower,ci_upper,se,category,source_file
14,cosine_dist,0.4791142489459064,0.1861194554303439,37,0.4191435649600238,0.5390849329317889,0.03059784999057312,construction,
15,cosine_dist,0.3929893084474512,0.1483458122957058,37,0.345189900216621,0.44078871667828146,0.02438790131240465,construction,
16,cosine_dist,0.3213268341244878,0.1449231426078957,37,0.2746302651522462,0.36802340309672943,0.02382521788184793,construction,
17,cosine_dist,0.3149271486578761,0.1511179455109284,37,0.2662345144897977,0.3636197828259545,0.02484363720566279,construction,
18,cosine_dist,0.3262600214094729,0.1638216387483624,37,0.2734740528243439,0.37904598999460193,0.026932111508934858,construction,
19,cosine_dist,0.3234384752608634,0.1693689463688363,37,0.2688650748808653,0.37801187564086147,0.027844083264012057,construction,
20,cosine_dist,0.289424577274838,0.1580919073361593,37,0.23848482036624066,0.34036433418343537,0.025990149467236975,construction,
21,cosine_dist,0.3109711666364927,0.1590753404996531,37,0.2597145317350345,0.3622278015379509,0.026151824883397862,construction,
22,cosine_dist,0.282720512634999,0.1496678164787668,37,0.2344951333797691,0.3309458918902288,0.02460523746131333,construction,
23,cosine_dist,0.3761114010939727,0.1908716200286873,37,0.3146094931921529,0.4376133089957924,0.03137910103804915,construction,
24,cosine_dist,0.3972046036978026,0.1932292503870979,37,0.3349430293502969,0.45946617804530826,0.031766693081412216,construction,
25,cosine_dist,0.3774581905957815,0.1889218975848785,37,0.31658451464460596,0.43833186654695705,0.031058568642760454,construction,
26,cosine_dist,0.4139561403442073,0.1711109118959296,37,0.3588214506358149,0.4690908300525997,0.028130460632587045,construction,
27,cosine_dist,0.4477180178100998,0.1890085075985147,37,0.3868164347186106,0.508619600901589,0.031072807241292747,construction,
28,cosine_dist,0.4794417953974492,0.2030114097917323,37,0.4140282518536098,0.5448553389412886,0.033374870181193686,construction,
29,cosine_dist,0.5191774013880137,0.1961513242020172,37,0.4559742878288616,0.5823805149471658,0.03224707905741645,construction,
30,cosine_dist,0.4283130229324908,0.1771100207829281,37,0.37124532378976904,0.48538072207521255,0.02911670805834416,construction,
31,cosine_dist,0.42485008368621,0.1985079450826367,37,0.36088762895136306,0.488812538421057,0.03263450514365295,construction,
32,cosine_dist,0.3021321538332346,0.1568799593456798,37,0.2515829060725193,0.3526814015939499,0.025790906444935383,construction,
33,cosine_dist,0.3544864598158243,0.1727065952580022,37,0.29883761524690355,0.410135304384745,0.028392789361371785,construction,
34,cosine_dist,0.5224494901863305,0.2347609117242445,37,0.44680574613657753,0.5980932342360834,0.038594456146348176,construction,
35,cosine_dist,0.4882658172298122,0.1807546809638141,37,0.43002374991887043,0.5465078845407539,0.029715886501153983,construction,
36,cosine_dist,0.4597602732278205,0.2029809981890439,37,0.3943565287918181,0.5251640176638228,0.03336987054450938,construction,
37,cosine_dist,0.5910189221235546,0.1899620546649822,37,0.5298100908206597,0.6522277534264495,0.031229569413367998,construction,
38,cosine_dist,0.5606215829784805,0.2030022710262315,37,0.49521098409196673,0.6260321818649943,0.03337336777740013,construction,
39,cosine_dist,0.509438614184792,0.2114106241701796,37,0.4413187085894686,0.5775585197801154,0.03475569251917102,construction,
40,cosine_dist,0.5694698824270351,0.2386425502873557,37,0.4925754119603285,0.6463643528937417,0.03923259359520908,construction,
41,cosine_dist,0.531796052951265,0.238531230557524,37,0.45493745149311365,0.6086546544094164,0.03921429274435764,construction,
42,cosine_dist,0.4588500502947214,0.2050518434779304,37,0.3927790461780139,0.5249210544114289,0.03371031541286839,construction,
43,cosine_dist,0.4886365214715132,0.2053377177630935,37,0.4224734040592044,0.554799638883822,0.03375731285584585,construction,
44,cosine_dist,0.3860295648510392,0.18718456779493,37,0.32571568451914135,0.446343445182937,0.03077295338467749,construction,
45,cosine_dist,0.3256271831892632,0.1848137775710704,37,0.2660772096234966,0.3851771567550298,0.03038319787276153,construction,
46,cosine_dist,0.3843233301430135,0.1960877579886108,37,0.32114069864086914,0.4475059616451579,0.032236628836305604,construction,
47,cosine_dist,0.1800550431818575,0.0968154863234915,37,0.1488595353193353,0.2112505510443797,0.015916367907057673,construction,
0,cosine_dist,0.2734132981136441,0.2983983420759488,625,0.25001929797303124,0.296807298254257,0.011935933683037952,metaphor,
1,cosine_dist,0.3234849673762917,0.3201211623120193,625,0.2983879294234653,0.34858200532911804,0.012804846492480773,metaphor,
2,cosine_dist,0.3198702848926186,0.294884185173174,625,0.29675178959062415,0.34298878019461304,0.01179536740692696,metaphor,
3,cosine_dist,0.3764816753722727,0.3025480328666105,625,0.3527623454517928,0.40020100529275254,0.01210192131466442,metaphor,
4,cosine_dist,0.2609133288621902,0.2642989036889717,625,0.24019267556683802,0.28163398215754243,0.010571956147558868,metaphor,
5,cosine_dist,0.3593389659941196,0.2909664644956235,625,0.3365276143493046,0.38215031763893453,0.011638658579824941,metaphor,
