layer,metric,mean,std,n
0,l1_dist,545.6689315486599,805.7058150796951,37
0,l2_dist,116.35932721318426,100.76204400118556,37
0,cosine_dist,0.7947504440876277,0.2684236448128602,37
0,slang_only_features,7.1891891891891895,9.087674569014647,37
0,literal_only_features,18.945945945945947,31.381648920508475,37
0,shared_features,2.1621621621621623,1.6359725351807088,37
0,slang_active,9.35135135135135,10.070605382420865,37
0,literal_active,21.10810810810811,32.17417445446193,37
1,l1_dist,522.5957764805975,818.899857292752,37
1,l2_dist,111.9508867263794,100.99435524867174,37
1,cosine_dist,0.5613729472498636,0.3492018089515295,37
1,slang_only_features,6.324324324324325,8.431132956005424,37
1,literal_only_features,17.945945945945947,31.379926399880908,37
1,shared_features,2.324324324324324,1.4714224420341837,37
1,slang_active,8.64864864864865,9.450343097493128,37
1,literal_active,20.27027027027027,32.20848356319291,37
2,l1_dist,693.0192485500027,863.5036578222413,37
2,l2_dist,123.79061008144069,99.02886365857704,37
2,cosine_dist,0.5709642032916481,0.23814886184254774,37
2,slang_only_features,11.18918918918919,11.28222193430967,37
2,literal_only_features,20.62162162162162,28.83911697054217,37
2,shared_features,5.945945945945946,3.883060550689547,37
2,slang_active,17.135135135135137,14.303963091286052,37
2,literal_active,26.56756756756757,31.499069519110545,37
3,l1_dist,845.2482035868877,973.8327423228878,37
3,l2_dist,143.9818928692792,105.3999401957895,37
3,cosine_dist,0.5978834000290245,0.20947276838567722,37
3,slang_only_features,15.243243243243244,15.998995585712361,37
3,literal_only_features,21.18918918918919,27.749689881722553,37
3,shared_features,7.324324324324325,3.945945945945947,37
3,slang_active,22.56756756756757,19.14036422673093,37
3,literal_active,28.513513513513512,29.685396921010263,37
4,l1_dist,1152.1712060876794,1225.5311652385317,37
4,l2_dist,172.31322190568252,116.04818791641547,37
4,cosine_dist,0.5457126643206622,0.18969698135777657,37
4,slang_only_features,18.43243243243243,18.230566165973045,37
4,literal_only_features,27.91891891891892,30.18177217799241,37
4,shared_features,11.513513513513514,6.9111020031877715,37
4,slang_active,29.945945945945947,24.012323351850707,37
4,literal_active,39.432432432432435,33.4369439154896,37
5,l1_dist,1097.7762119190113,1261.348873329542,37
5,l2_dist,174.45186934600005,129.78256015569798,37
5,cosine_dist,0.5445389139491159,0.22209506818386507,37
5,slang_only_features,18.62162162162162,17.90266679719601,37
5,literal_only_features,23.62162162162162,30.255981183401467,37
5,shared_features,8.567567567567568,4.846511927877228,37
5,slang_active,27.18918918918919,21.726603244220552,37
5,literal_active,32.189189189189186,33.24506696821295,37
6,l1_dist,1418.2162661165805,1570.3343448518044,37
6,l2_dist,237.0877918552708,168.88141313068988,37
6,cosine_dist,0.733532499270262,0.1874192344310076,37
6,slang_only_features,21.72972972972973,21.005338637553677,37
6,literal_only_features,24.81081081081081,29.21110288529035,37
6,shared_features,6.4324324324324325,4.475401480045872,37
6,slang_active,28.16216216216216,24.721708934099848,37
6,literal_active,31.243243243243242,31.908149772649082,37
7,l1_dist,1671.3814689017631,1590.6667952091639,37
7,l2_dist,263.09274044552365,167.5470212030422,37
7,cosine_dist,0.7696851313466558,0.13764612437735171,37
7,slang_only_features,24.37837837837838,19.90701540249588,37
7,literal_only_features,28.64864864864865,27.950937919974745,37
7,shared_features,8.297297297297296,5.646643896155724,37
7,slang_active,32.67567567567568,24.539052222995938,37
7,literal_active,36.945945945945944,31.791504853686046,37
8,l1_dist,2254.932375521273,1836.4601438725233,37
8,l2_dist,291.8122777165593,164.58013781664428,37
8,cosine_dist,0.6644917074087504,0.13306663627718557,37
8,slang_only_features,30.216216216216218,17.284792777428834,37
8,literal_only_features,36.0,29.570803716375927,37
8,shared_features,18.08108108108108,11.395538193659641,37
8,slang_active,48.2972972972973,26.671033852279745,37
8,literal_active,54.08108108108108,38.213750446084035,37
9,l1_dist,2591.7185982369087,2032.5366039120083,37
9,l2_dist,341.7418854172165,183.93335509690968,37
9,cosine_dist,0.5874395014063732,0.1364189191487966,37
9,slang_only_features,28.675675675675677,19.696417638410942,37
9,literal_only_features,35.62162162162162,29.24579096660296,37
9,shared_features,18.756756756756758,10.47366170359599,37
9,slang_active,47.432432432432435,28.167971595643913,37
9,literal_active,54.37837837837838,36.813886445310025,37
10,l1_dist,2900.0140199403504,1905.3200800445493,37
10,l2_dist,391.9369750151763,170.2026283212522,37
10,cosine_dist,0.4273648652675989,0.14782774619676792,37
10,slang_only_features,26.216216216216218,14.970484718605716,37
10,literal_only_features,34.648648648648646,24.5315199518257,37
10,shared_features,22.16216216216216,9.579012851904244,37
10,slang_active,48.37837837837838,21.588724974370116,37
10,literal_active,56.810810810810814,30.939206158545247,37
11,l1_dist,3322.2359635636612,2282.7870978776696,37
11,l2_dist,421.58652351997995,190.20243891340579,37
11,cosine_dist,0.5705152776192974,0.14203901145700074,37
11,slang_only_features,28.72972972972973,17.975431654627858,37
11,literal_only_features,37.78378378378378,27.264604452536087,37
11,shared_features,18.027027027027028,9.137054012442773,37
11,slang_active,46.75675675675676,24.739076656288077,37
11,literal_active,55.810810810810814,33.387032470413175,37
12,l1_dist,4003.537310626056,2209.1887414016837,37
12,l2_dist,481.7937869510135,167.2529807016164,37
12,cosine_dist,0.4785291753910683,0.12541944674366132,37
12,slang_only_features,30.324324324324323,17.691124746994824,37
12,literal_only_features,40.027027027027025,24.813342625339956,37
12,shared_features,26.7027027027027,11.696303100078744,37
12,slang_active,57.027027027027025,25.510449884774552,37
12,literal_active,66.72972972972973,31.402055922234936,37
13,l1_dist,4658.561500343117,2776.244864017563,37
13,l2_dist,589.3707568194416,223.92740242836044,37
13,cosine_dist,0.44083527254091726,0.14535584715601838,37
13,slang_only_features,25.027027027027028,17.139312305240452,37
13,literal_only_features,39.729729729729726,28.03535282522876,37
13,shared_features,20.486486486486488,10.50513805207055,37
13,slang_active,45.513513513513516,25.133827341740293,37
13,literal_active,60.21621621621622,34.1373498671653,37
14,l1_dist,4975.65124181799,2968.0811453540105,37
14,l2_dist,678.4844343855574,281.4004244276786,37
14,cosine_dist,0.4351234504499951,0.1929318701353459,37
14,slang_only_features,24.83783783783784,19.970943099864556,37
14,literal_only_features,38.027027027027025,26.415071953272562,37
14,shared_features,17.45945945945946,9.733182570519222,37
14,slang_active,42.2972972972973,27.17298426335391,37
14,literal_active,55.486486486486484,32.86304226809627,37
15,l1_dist,5391.622852222339,3341.2049090454693,37
15,l2_dist,714.4149153425886,293.1511286885864,37
15,cosine_dist,0.3318422597807807,0.14731387906859028,37
15,slang_only_features,23.43243243243243,16.56362106340039,37
15,literal_only_features,38.432432432432435,30.06078575202615,37
15,shared_features,18.756756756756758,10.650226251639117,37
15,slang_active,42.189189189189186,25.128682694028758,37
15,literal_active,57.189189189189186,36.59702974052774,37
16,l1_dist,5746.284153293919,3447.8731497737667,37
16,l2_dist,843.0268480455553,357.89510239269777,37
16,cosine_dist,0.3217168273152532,0.1326432268931436,37
16,slang_only_features,25.324324324324323,16.925998000922903,37
16,literal_only_features,36.7027027027027,30.778076494404228,37
16,shared_features,17.43243243243243,10.574166737449366,37
16,slang_active,42.75675675675676,26.063752820785325,37
16,literal_active,54.13513513513514,37.44052015271774,37
17,l1_dist,6685.253691802153,3926.4144797997774,37
17,l2_dist,1039.1993738122887,434.0108581642656,37
17,cosine_dist,0.3939856133750967,0.21070823487421297,37
17,slang_only_features,26.08108108108108,18.835530511298973,37
17,literal_only_features,34.78378378378378,27.36355352213334,37
17,shared_features,16.27027027027027,9.545477629233503,37
17,slang_active,42.351351351351354,25.833370641756954,37
17,literal_active,51.054054054054056,32.74384278488709,37
18,l1_dist,7477.462316564612,4404.979649927594,37
18,l2_dist,1172.3911602948162,548.1829540443646,37
