layer,metric,mean,std,n,source_file
0,cosine_dist,0.1758566446260301,0.1812555130738579,1002,checkpoint_token_level_layer_20.csv
0,l1_dist,154.00815232785163,255.98436156357369,1002,checkpoint_token_level_layer_20.csv
0,l2_dist,47.90914143583256,42.412888151236494,1002,checkpoint_token_level_layer_20.csv
0,literal_active,8.822355289421157,9.16887358163504,1002,checkpoint_token_level_layer_20.csv
0,literal_only_features,4.294411177644711,8.42260459515121,1002,checkpoint_token_level_layer_20.csv
0,shared_features,4.527944111776447,1.1554425428944524,1002,checkpoint_token_level_layer_20.csv
0,slang_active,7.667664670658683,7.678958232485499,1002,checkpoint_token_level_layer_20.csv
0,slang_only_features,3.139720558882236,6.916124172873653,1002,checkpoint_token_level_layer_20.csv
1,cosine_dist,0.2471915044321747,0.2094193179092447,1002,checkpoint_token_level_layer_20.csv
1,l1_dist,162.48513498991548,262.7851987590688,1002,checkpoint_token_level_layer_20.csv
1,l2_dist,48.985315626014966,43.07389354144923,1002,checkpoint_token_level_layer_20.csv
1,literal_active,9.997005988023952,9.332566497117384,1002,checkpoint_token_level_layer_20.csv
1,literal_only_features,5.677644710578842,8.683896540336626,1002,checkpoint_token_level_layer_20.csv
1,shared_features,4.319361277445109,1.3638490469153912,1002,checkpoint_token_level_layer_20.csv
1,slang_active,7.624750499001996,7.649827870920713,1002,checkpoint_token_level_layer_20.csv
1,slang_only_features,3.305389221556886,6.830318031349992,1002,checkpoint_token_level_layer_20.csv
2,cosine_dist,0.2434167611206363,0.1845266933290862,1002,checkpoint_token_level_layer_20.csv
2,l1_dist,202.87869088806792,300.6553257200609,1002,checkpoint_token_level_layer_20.csv
2,l2_dist,55.71033343107639,44.875314786385765,1002,checkpoint_token_level_layer_20.csv
2,literal_active,11.023952095808385,10.404945908124589,1002,checkpoint_token_level_layer_20.csv
2,literal_only_features,6.791417165668663,9.064935745359136,1002,checkpoint_token_level_layer_20.csv
2,shared_features,4.23253493013972,2.0919051667854824,1002,checkpoint_token_level_layer_20.csv
2,slang_active,9.19760479041916,8.98528816703214,1002,checkpoint_token_level_layer_20.csv
2,slang_only_features,4.965069860279441,7.701632758760194,1002,checkpoint_token_level_layer_20.csv
3,cosine_dist,0.3857115920476928,0.2071883790181224,1002,checkpoint_token_level_layer_20.csv
3,l1_dist,334.42981310899626,392.18781276254,1002,checkpoint_token_level_layer_20.csv
3,l2_dist,78.84858485181888,52.61501781535046,1002,checkpoint_token_level_layer_20.csv
3,literal_active,14.756487025948104,11.39135886191325,1002,checkpoint_token_level_layer_20.csv
3,literal_only_features,9.735528942115767,10.114065775771255,1002,checkpoint_token_level_layer_20.csv
3,shared_features,5.020958083832335,2.141352166747789,1002,checkpoint_token_level_layer_20.csv
3,slang_active,13.162674650698603,11.471151180814848,1002,checkpoint_token_level_layer_20.csv
3,slang_only_features,8.141716566866268,10.203022733567812,1002,checkpoint_token_level_layer_20.csv
4,cosine_dist,0.2171150177360294,0.1295728562297214,1002,checkpoint_token_level_layer_20.csv
4,l1_dist,487.2293826577192,436.1799086845709,1002,checkpoint_token_level_layer_20.csv
4,l2_dist,99.00290280568623,50.16719147195444,1002,checkpoint_token_level_layer_20.csv
4,literal_active,21.172654690618764,12.045784693441991,1002,checkpoint_token_level_layer_20.csv
4,literal_only_features,12.379241516966069,9.65543543072187,1002,checkpoint_token_level_layer_20.csv
4,shared_features,8.793413173652695,3.640018825890936,1002,checkpoint_token_level_layer_20.csv
4,slang_active,20.34231536926148,13.0526947466049,1002,checkpoint_token_level_layer_20.csv
4,slang_only_features,11.548902195608784,10.59959437858045,1002,checkpoint_token_level_layer_20.csv
5,cosine_dist,0.3428189325148236,0.1774975119486121,1002,checkpoint_token_level_layer_20.csv
5,l1_dist,509.2423563517496,496.9272004242098,1002,checkpoint_token_level_layer_20.csv
5,l2_dist,102.72902496322662,56.58472903349272,1002,checkpoint_token_level_layer_20.csv
5,literal_active,19.28243512974052,12.09341017740016,1002,checkpoint_token_level_layer_20.csv
5,literal_only_features,11.217564870259482,9.861747448237448,1002,checkpoint_token_level_layer_20.csv
5,shared_features,8.064870259481038,3.1134220144166167,1002,checkpoint_token_level_layer_20.csv
5,slang_active,21.476047904191617,13.335451122344072,1002,checkpoint_token_level_layer_20.csv
5,slang_only_features,13.41117764471058,11.480722139686245,1002,checkpoint_token_level_layer_20.csv
6,cosine_dist,0.322933792993575,0.1700564238747633,1002,checkpoint_token_level_layer_20.csv
6,l1_dist,637.2752081819638,644.1130254926941,1002,checkpoint_token_level_layer_20.csv
6,l2_dist,122.76356092327369,74.06598168000916,1002,checkpoint_token_level_layer_20.csv
6,literal_active,20.40818363273453,15.037413517079466,1002,checkpoint_token_level_layer_20.csv
6,literal_only_features,12.375249500998004,11.013641794450724,1002,checkpoint_token_level_layer_20.csv
6,shared_features,8.032934131736527,5.061292306716205,1002,checkpoint_token_level_layer_20.csv
6,slang_active,24.08083832335329,18.21485356282553,1002,checkpoint_token_level_layer_20.csv
6,slang_only_features,16.047904191616766,14.563704803503644,1002,checkpoint_token_level_layer_20.csv
7,cosine_dist,0.4158460796176792,0.1605906862201976,1002,checkpoint_token_level_layer_20.csv
7,l1_dist,887.3173548228251,728.046296727487,1002,checkpoint_token_level_layer_20.csv
7,l2_dist,151.8769770677456,77.35676090436775,1002,checkpoint_token_level_layer_20.csv
7,literal_active,30.12574850299401,16.73183334826863,1002,checkpoint_token_level_layer_20.csv
7,literal_only_features,17.61177644710579,11.33899622396929,1002,checkpoint_token_level_layer_20.csv
7,shared_features,12.513972055888225,7.230473352513979,1002,checkpoint_token_level_layer_20.csv
7,slang_active,31.99201596806387,20.457149025103032,1002,checkpoint_token_level_layer_20.csv
7,slang_only_features,19.47804391217565,15.33791100307312,1002,checkpoint_token_level_layer_20.csv
8,cosine_dist,0.4565754162366994,0.1286523592004112,1002,checkpoint_token_level_layer_20.csv
8,l1_dist,1243.1143169897996,783.2198568948568,1002,checkpoint_token_level_layer_20.csv
8,l2_dist,190.92175043985517,81.27269826239694,1002,checkpoint_token_level_layer_20.csv
8,literal_active,40.08582834331337,15.685170372782968,1002,checkpoint_token_level_layer_20.csv
8,literal_only_features,20.887225548902197,10.152541961030495,1002,checkpoint_token_level_layer_20.csv
8,shared_features,19.198602794411176,8.487132331564366,1002,checkpoint_token_level_layer_20.csv
8,slang_active,43.318363273453095,20.45025711534213,1002,checkpoint_token_level_layer_20.csv
8,slang_only_features,24.119760479041915,14.471378205553837,1002,checkpoint_token_level_layer_20.csv
9,cosine_dist,0.4775625132098645,0.163099063916058,1002,checkpoint_token_level_layer_20.csv
9,l1_dist,1470.531702007362,988.227331509648,1002,checkpoint_token_level_layer_20.csv
9,l2_dist,221.28143209278463,96.50886053594522,1002,checkpoint_token_level_layer_20.csv
9,literal_active,41.60678642714571,17.882826479237625,1002,checkpoint_token_level_layer_20.csv
9,literal_only_features,22.70558882235529,11.035152898967356,1002,checkpoint_token_level_layer_20.csv
9,shared_features,18.90119760479042,9.745115904640873,1002,checkpoint_token_level_layer_20.csv
9,slang_active,42.0059880239521,22.52149038171827,1002,checkpoint_token_level_layer_20.csv
9,slang_only_features,23.10479041916168,15.656237143165084,1002,checkpoint_token_level_layer_20.csv
10,cosine_dist,0.3428878335955138,0.1042376220163234,1002,checkpoint_token_level_layer_20.csv
10,l1_dist,1789.776178752115,990.2956698171348,1002,checkpoint_token_level_layer_20.csv
10,l2_dist,286.2838120146426,103.6076267231584,1002,checkpoint_token_level_layer_20.csv
10,literal_active,41.333333333333336,14.13418255272653,1002,checkpoint_token_level_layer_20.csv
10,literal_only_features,20.12974051896208,9.505389464655584,1002,checkpoint_token_level_layer_20.csv
10,shared_features,21.20359281437126,7.905786750070677,1002,checkpoint_token_level_layer_20.csv
10,slang_active,43.71357285429141,18.22718669295133,1002,checkpoint_token_level_layer_20.csv
10,slang_only_features,22.50998003992016,12.86923330536303,1002,checkpoint_token_level_layer_20.csv
11,cosine_dist,0.39038435569007,0.1101122210399548,1002,checkpoint_token_level_layer_20.csv
11,l1_dist,2059.359889656722,1106.4530663032997,1002,checkpoint_token_level_layer_20.csv
11,l2_dist,292.03239378481805,107.19165520652412,1002,checkpoint_token_level_layer_20.csv
11,literal_active,50.11477045908184,13.754542033238234,1002,checkpoint_token_level_layer_20.csv
