layer,metric,mean,std,n
0,l1_dist,348.9412284767151,681.4630419873997,625
0,l2_dist,119.16457813472748,207.95153539062935,625
0,cosine_dist,0.2734132981136441,0.2983983420759488,625
0,slang_only_features,7.4064,19.4336933967787,625
0,literal_only_features,4.9376,16.776677449364044,625
0,shared_features,5.8352,7.311582657674056,625
0,slang_active,13.2416,21.006609184730408,625
0,literal_active,10.7728,18.878887153643355,625
1,l1_dist,365.8164175765991,706.9440851097509,625
1,l2_dist,118.04568067407608,174.9012392481315,625
1,cosine_dist,0.32348496737629173,0.32012116231201937,625
1,slang_only_features,7.7296,19.73979948834334,625
1,literal_only_features,5.5008,17.079964852422854,625
1,shared_features,5.9776,8.619762075602784,625
1,slang_active,13.7072,21.882940116903853,625
1,literal_active,11.4784,19.834352357463047,625
2,l1_dist,401.95528063735964,717.3486897388759,625
2,l2_dist,104.0042304614067,138.56126796783968,625
2,cosine_dist,0.31987028489261865,0.29488418517317405,625
2,slang_only_features,9.9648,18.84323647784531,625
2,literal_only_features,6.7056,16.56646397515173,625
2,shared_features,6.5936,8.267408242006681,625
2,slang_active,16.5584,20.90787864514236,625
2,literal_active,13.2992,19.264518664114085,625
3,l1_dist,492.67769404754637,806.7261629656393,625
3,l2_dist,102.96324599914551,108.36672618893886,625
3,cosine_dist,0.37648167537227273,0.3025480328666105,625
3,slang_only_features,12.696,21.734479151799338,625
3,literal_only_features,8.1808,18.29957680822155,625
3,shared_features,7.8864,8.464602473831834,625
3,slang_active,20.5824,23.453920999270036,625
3,literal_active,16.0672,20.94469584787518,625
4,l1_dist,592.2753384216309,893.979065624962,625
4,l2_dist,115.70810401191711,120.5388578155806,625
4,cosine_dist,0.26091332886219026,0.2642989036889717,625
4,slang_only_features,14.8112,21.886972256573088,625
4,literal_only_features,9.9712,17.62822652906412,625
4,shared_features,9.9248,8.66509924697923,625
4,slang_active,24.736,23.49718076706225,625
4,literal_active,19.896,20.45820089841724,625
5,l1_dist,648.1386761962891,969.4885046173878,625
5,l2_dist,125.94930074386596,130.26676940255214,625
5,cosine_dist,0.35933896599411963,0.2909664644956235,625
5,slang_only_features,15.3312,23.105339351760232,625
5,literal_only_features,10.4976,17.84225305952138,625
5,shared_features,10.68,8.872970190415383,625
5,slang_active,26.0112,24.688942354017517,625
5,literal_active,21.1776,20.689061318484217,625
6,l1_dist,876.9601826477051,1197.999171255011,625
6,l2_dist,162.26045149536134,151.43854760663126,625
6,cosine_dist,0.38536051624119283,0.28311707860926644,625
6,slang_only_features,18.7552,24.82133100701894,625
6,literal_only_features,12.6928,19.164593086209788,625
6,shared_features,10.1072,9.862398702141382,625
6,slang_active,28.8624,27.448516649174323,625
6,literal_active,22.8,22.81403077055872,625
7,l1_dist,1095.34875335083,1283.1115850734548,625
7,l2_dist,186.62819233093262,157.5694946342272,625
7,cosine_dist,0.4427473049134016,0.27988766279545796,625
7,slang_only_features,22.4656,25.867338800889435,625
7,literal_only_features,16.4624,19.43157703944793,625
7,shared_features,14.3264,10.5885533969471,625
7,slang_active,36.792,28.383740697800917,625
7,literal_active,30.7888,22.873429881852,625
8,l1_dist,1437.3117687011718,1443.3049321181993,625
8,l2_dist,220.06980954589844,170.25772085051747,625
8,cosine_dist,0.47442114054858686,0.27181259340249175,625
8,slang_only_features,26.7248,25.436876084928354,625
8,literal_only_features,20.0768,18.800183556550717,625
8,shared_features,17.7152,12.21430673268033,625
8,slang_active,44.44,27.881233832095738,625
8,literal_active,37.792,22.744386911939394,625
9,l1_dist,1703.032167980957,1669.948269738719,625
9,l2_dist,250.39401118164062,192.46979966428458,625
9,cosine_dist,0.4562843932569027,0.27270570147772516,625
9,slang_only_features,27.1056,25.65478607667583,625
9,literal_only_features,21.5056,20.14079364474002,625
9,shared_features,20.6832,12.508254784741155,625
9,slang_active,47.7888,27.989601543430375,625
9,literal_active,42.1888,24.206304025191454,625
10,l1_dist,2349.482404980469,1913.6912598231818,625
10,l2_dist,318.9299610839844,207.86258521941957,625
10,cosine_dist,0.3466306605756283,0.22276776701056983,625
10,slang_only_features,32.4672,26.497624877713097,625
10,literal_only_features,22.6144,18.34574917085699,625
10,shared_features,28.312,14.562426171486672,625
10,slang_active,60.7792,28.462453291309938,625
10,literal_active,50.9264,22.83718421872539,625
11,l1_dist,2651.9097021728517,2149.67402168174,625
11,l2_dist,361.43913862304686,242.539211535266,625
11,cosine_dist,0.40936604413092137,0.24240381529046776,625
11,slang_only_features,31.704,26.45612942212069,625
11,literal_only_features,23.1392,19.218777884142373,625
11,shared_features,28.568,13.429124170994921,625
11,slang_active,60.272,27.82976133566366,625
11,literal_active,51.7072,22.655098061142883,625
12,l1_dist,3307.4385334472654,2393.6474803755395,625
12,l2_dist,412.9407970214844,245.52548566749255,625
12,cosine_dist,0.38728977480381727,0.22871973814869964,625
12,slang_only_features,34.3664,26.112773714027394,625
12,literal_only_features,25.6112,20.007139589656486,625
12,shared_features,35.3408,17.3917870088154,625
12,slang_active,69.7072,27.92290579721244,625
12,literal_active,60.952,25.18985700634285,625
13,l1_dist,3712.4731408203124,2792.5661463836427,625
13,l2_dist,484.3271045532227,272.95139863246055,625
13,cosine_dist,0.40100186337828636,0.2320061138998499,625
13,slang_only_features,31.1232,25.99949272120516,625
13,literal_only_features,24.0656,19.403187795823655,625
13,shared_features,26.0224,14.268941735111262,625
13,slang_active,57.1456,28.78737919019375,625
13,literal_active,50.088,23.521978148106506,625
14,l1_dist,4215.9570875,3241.1518802952455,625
14,l2_dist,561.9261416015624,308.93507103027616,625
14,cosine_dist,0.38244545750021935,0.21953300377312232,625
14,slang_only_features,30.5184,27.243202114288987,625
14,literal_only_features,23.2448,20.092886128179796,625
14,shared_features,24.3088,14.647506359786977,625
14,slang_active,54.8272,30.759436603423023,625
14,literal_active,47.5536,24.67427662647884,625
15,l1_dist,4885.89321430664,3641.7617265328927,625
15,l2_dist,654.1091245117187,346.4295885962453,625
15,cosine_dist,0.3059729063510895,0.1957908146046796,625
15,slang_only_features,30.0368,26.866072391773233,625
15,literal_only_features,23.048,19.6510583938881,625
15,shared_features,23.6816,14.513091381232325,625
15,slang_active,53.7184,30.39000989535871,625
15,literal_active,46.7296,24.208669600785583,625
16,l1_dist,5743.388416992188,4824.884737179454,625
16,l2_dist,832.5078138916016,474.5625694895227,625
16,cosine_dist,0.2940567912578583,0.19506193434140814,625
16,slang_only_features,31.9088,30.994704105056403,625
16,literal_only_features,24.0576,23.000797426176337,625
16,shared_features,19.2352,13.615780585776198,625
16,slang_active,51.144,34.781306243440596,625
16,literal_active,43.2928,27.73553439470745,625
17,l1_dist,7427.5356698242185,5691.01941138149,625
17,l2_dist,1068.432861694336,564.1136785923616,625
17,cosine_dist,0.2682337303519249,0.18925567478457206,625
17,slang_only_features,32.12,29.363487531286196,625
17,literal_only_features,24.2704,21.53773627473417,625
17,shared_features,21.8736,13.578277616840806,625
17,slang_active,53.9936,32.88179981448704,625
